Table 1.2 Occupational projections, 2024-2034, and worker characteristics, 2024 (Employment in thousands)
2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment change, percent, 2024-34","Occupational openings, 2024-34 annual average","Median annual wage, dollars, 2024",Typical education needed for entry
"Total, all occupations",00-0000,Summary,"169,956.1","175,167.9",3.1,"18,863.3","49,500",—
Chief executives,11-1011,Line item,309.4,322.7,4.3,22.2,"206,420",Bachelor's degree
"Advertising and promotions managers",11-2011,Line item,27.0,26.4,-2.2,2.1,"126,960",Bachelor's degree
"Computer and information systems managers",11-3021,Line item,667.1,768.7,15.2,55.6,"171,200",Bachelor's degree
"Medical and health services managers",11-9111,Line item,616.2,759.1,23.2,62.1,"117,960",Bachelor's degree
Data scientists,15-2051,Line item,245.9,328.3,33.5,23.4,"112,590",Bachelor's degree
Nurse practitioners,29-1171,Line item,320.4,448.8,40.1,29.5,"129,210",Master's degree
Telephone operators,43-2021,Line item,4.0,2.9,-27.5,0.3,"39,130",High school diploma or equivalent
"Word processors and typists",43-9022,Line item,40.0,25.6,-36.1,2.2,"47,850",High school diploma or equivalent
"Solar photovoltaic installers",47-2231,Line item,28.6,40.6,42.1,4.1,"51,860",High school diploma or equivalent
"Wind turbine service technicians",49-9081,Line item,13.6,20.5,49.9,2.3,"62,580",Postsecondary nondegree award
