ORGANIZATION NAME,ORGANIZATION TYPE,ORGANIZATION URL,ADDRESS,CITY,STATE,ZIP,COUNTY,CONTACT PERSON,EMAIL,PHONE,REGISTERED DATE
	 Hairbenders INC DBA Navii Salonspa,,,316 US-30,Schererville,IN,46375,,,,,
	 NHTI,Educators,,31 College Dr,Concord,NH,03301,Hillsborough County,,,,
	 Truck Country Technical Institute,Educators,http://truckcountry.com/training-academy/,10819 Wood Gate Drive suite 2,Dubuque,IN,52003,Dubuque County,,,,
	NCPHCC,Educators,,507 E Jefferson St,Plymouth,IN,46563,Kosciusko County,,,,
  Maricopa County  https://www.maricopa.gov/1403/Online-Education,Educators,,4041 N Central Ave,Phoenix,AZ,85012,Maricopa County,,,,
 1199 SEIU LEAGUE TRAINING AND UPGRADING FUND,Sponsor,,611 NORTH EUTAW STREET,BALTIMORE,MD,21201,Baltimore city,,,,2017-11-13T19:00:00+00:00
" B & B PRECISION WIRE EDM, INC. ",Sponsor,,136 INDUSTRY LANE / UNIT 4,FOREST HILL,MD,21050,,,,,2025-07-07T20:00:00+00:00
 Blue Ridge Community and Technical College,Educators,,510 Butler Ave,Martinsburg,WV,25405,Frederick County,,,,
 Burlington County Institute of Technology,Educators,,10 Hawkins Road,Medford,NJ,08055,Burlington County,,,,
 Front Range Community College,Educators,,3645 W 112th Ave,Westminster,CO,80031,Denver County,,,,
 Galesburg - Laurel Health Care Company of Galesburg,,,1080 North 35th Street,Galesburg,MI,49053,,,,,
 Ivy Tech North Campus Technology Center,Educators,,3701 Dean Dr,Fort Wayne,IN,46835,Clark County,,,,
 National Center for Construction Education and Research (NCCER),Educators,,2551 Picadilly Rd,Aurora,CO,80019,Fredericksburg city,,,,
 NCCoVT AED,Educators,,1417 Newport Rd,Wilmington,DE,19804,Chester County,,,,
 New Castle County Vo-Tech,Educators,,1703 School Ln,Wilmington,DE,19808,Cecil County,,,,
 PA NTMA Web-based module training - classes,Educators,,1045 French St,Meadville,PA,16335,Fayette County,,,,
 Sinclair Community College,Educators,,444 W Third St.,Dayton,OH,45402,Montgomery County,,,,
 Smart Teach by Teaching Strategies,Educators,,"80 M Street, SE Suite 1010",Washington,DC,20003,Maricopa County,,,,
 Tennessesse Valley Public  Power Association (TVPPA),Educators,,1206 Broad St,Chattanooga,TN,37402,Washington County,,,,
 Tooling U SME,Educators,,"3615 Superior Avenue E. | Building 44, 5th Floor",Cleveland,OH,44114,Richland County,,,,
 Universal Technical Institute,Educators,,10695 W Pierce St Suite 100,Avondale,AZ,85323,Maricopa County,,,,
"""CB Richard Ellis - N.E.""",Sponsor,,"""33 Arch Street, 10th Floor""",Boston,MA,02110,Suffolk County,,,,2006-08-24T20:00:00+00:00
"""Salem Police Department""",Sponsor,,"""95 Margin Street""",Salem,MA,01970,Essex County,,,,2013-07-01T20:00:00+00:00
"""Sandwich Fire Dept.""",Sponsor,,"""115 Route 6A""",Sandwich,MA,02563,Barnstable County,,,,2018-02-12T19:00:00+00:00
"""Scituate Police Department""",Sponsor,,"""604 Chief Justice Hwy.""",Scituate,MA,02066,Plymouth County,,,,2016-11-06T19:00:00+00:00
