UNITID,INSTNM,CIPCODE,CIPDESC,CREDLEV,CREDDESC,EARN_MDN_HI_1YR,DEBT_ALL_STGP_ANY_MDN
100654,Alabama A & M University,0901,Communication and Media Studies.,5,Master's Degree,30780,PS
100654,Alabama A & M University,1002,Audiovisual Communications Technologies/Technicians.,3,Bachelor's Degree,16965,36250
100654,Alabama A & M University,1101,"Computer and Information Sciences, General.",3,Bachelor's Degree,60145,31000
100654,Alabama A & M University,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",5,Master's Degree,47070,PS
100654,Alabama A & M University,1313,"Teacher Education and Professional Development, Specific Subject Areas.",3,Bachelor's Degree,23093,PS
100654,Alabama A & M University,1410,"Electrical, Electronics, and Communications Engineering.",3,Bachelor's Degree,58009,35000
100654,Alabama A & M University,1410,"Electrical, Electronics, and Communications Engineering.",5,Master's Degree,NA,NA
100654,Alabama A & M University,1419,Mechanical Engineering.,3,Bachelor's Degree,52783,30500
100654,Alabama A & M University,1499,"Engineering, Other.",5,Master's Degree,69533,PS
100654,Alabama A & M University,1901,"Family and Consumer Sciences/Human Sciences, General.",3,Bachelor's Degree,22540,41531
100654,Alabama A & M University,2401,"Liberal Arts and Sciences, General Studies and Humanities.",3,Bachelor's Degree,23094,33000
100654,Alabama A & M University,2601,"Biology, General.",3,Bachelor's Degree,23306,28271
