UNITID,OPEID,INSTNM,CITY,STABBR,ZIP,CONTROL,CURROPER,PREDDEG,HIGHDEG,TUITIONFEE_IN,TUITIONFEE_OUT,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,MD_EARN_WNE_P10,C150_4
100654,00100200,Alabama A & M University,Normal,AL,35762,1,1,3,4,10024,18634,17621,NA,NA,NA,40628,0.2403
100663,00105200,University of Alabama at Birmingham,Birmingham,AL,35294-0110,1,1,3,4,9098,22562,18749,NA,NA,NA,54501,0.6423
100690,02503400,Amridge University,Montgomery,AL,36117-3553,2,1,3,4,7590,7590,NA,NA,NA,NA,37621,1
100706,00105500,University of Alabama in Huntsville,Huntsville,AL,35899,1,1,3,4,12132,26408,18796,NA,NA,NA,61767,0.6429
100724,00100500,Alabama State University,Montgomery,AL,36104-0271,1,1,3,4,11248,19576,20435,NA,NA,NA,34502,0.3034
100751,00105100,The University of Alabama,Tuscaloosa,AL,35487-0100,1,1,3,4,12180,34172,22420,NA,NA,NA,59221,0.7337
100760,00100700,Central Alabama Community College,Alexander City,AL,35010,1,1,1,2,5110,8980,15996,NA,NA,NA,33506,NA
100812,00100800,Athens State University,Athens,AL,35611,1,1,3,4,NA,NA,NA,NA,NA,NA,50273,NA
100830,00831000,Auburn University at Montgomery,Montgomery,AL,36117-3596,1,1,3,4,9700,20668,13224,NA,NA,NA,44391,0.326
100858,00100900,Auburn University,Auburn,AL,36849,1,1,3,4,12890,34922,24323,NA,NA,NA,65337,0.8195
101028,01218200,Chattahoochee Valley Community College,Phenix City,AL,36869,1,1,2,2,5100,8970,4244,NA,NA,NA,36438,NA
101116,01303906,South University-Montgomery,Montgomery,AL,36116,3,1,3,4,18145,18145,NA,27807,NA,NA,34421,0.0909
